book_id,Title,Author,Publication Year
14570,"Eight Cousins (Eight Cousins, #1)",Louisa May Alcott,2007
15660,The Stranger,Chris Van Allsburg,1986
15673,Wayside School Gets A Little Stranger (Wayside School #3),Louis Sachar,2004
17487,"Five Go Adventuring Again (Famous Five, #2)",Enid Blyton,2001
17544,"The Quiet Little Woman: Tilly's Christmas, Rosa's Tale : Three Enchanting Christmas Stories",Louisa May Alcott,1999
18005,How I Became a Pirate,Melinda Long,2003
18132,"The Voyage of the ""Dawn Treader"" (The Chronicles of Narnia, #3)",C.S. Lewis,1970
18576,Everything on a Waffle (Coal Harbour #1),Polly Horvath,2004
19301,The Adventures of Pippi Longstocking,Astrid Lindgren,1997
19308,Pippi Goes on Board,Astrid Lindgren,No year listed
19314,"Ronia, the Robber's Daughter",Astrid Lindgren,1985
19330,The Complete Tales,Beatrix Potter,2006
19336,The Tale of Jemima Puddle-Duck,Beatrix Potter,2002
19337,The Tale of the Flopsy Bunnies,Beatrix Potter,2002
19435,"Vampires Don't Wear Polka Dots (The Adventures of the Bailey School Kids, #1)",Debbie Dadey,1991
20694,"Julius, the Baby of the World",Kevin Henkes,1995
21088,The Care & Keeping of You: The Body Book for Girls,Valorie Schaefer,No year listed
21315,Diary of a Spider,Doreen Cronin,2005
21318,"The Snow Spider (Snow Spider Trilogy, #1)",Jenny Nimmo,No year listed
22208,Hush! A Thai Lullaby,Minfong Ho,2000
22337,The Neil Gaiman Audio Collection,Neil Gaiman,2004
22341,The Wolves in the Walls,Neil Gaiman,2003
23300,"The Door to Time (Ulysses Moore, #1)",Pierdomenico Baccalario,2006
23401,Letters from Camp,Kate Klise,2000
23404,"Regarding the Fountain: A Tale, in Letters, of Liars and Leaks",Kate Klise,1999
24048,"The Abduction (Kidnapped, #1)",Gordon Korman,2006
24049,"Survival (Island, #2)",Gordon Korman,2001
24052,"Chasing The Falconers (On The Run, #1)",Gordon Korman,2005
24055,"Escape (Island, #3)",Gordon Korman,2001
24155,Judy Moody Declares Independence (Judy Moody #6),Megan McDonald,2010
24156,"Judy Moody Gets Famous! (Judy Moody, #2)",Megan McDonald,No year listed
24157,"Judy Moody Saves The World! (Judy Moody, #3)",Megan McDonald,2004
24271,"Skellig (Skellig, #1)",David Almond,2001
24580,The Adventures of Tom Sawyer & Adventures of Huckleberry Finn,Mark Twain,2002
24655,D'Aulaires' Book of Norse Myths,Ingri d'Aulaire,No year listed
24686,Toys Go Out,Emily Jenkins,No year listed
24688,Cars and Trucks and Things That Go,Richard Scarry,1998
25051,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",Betty MacDonald,2007
25053,"Hello, Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #4)",Betty MacDonald,2007
26482,The Music of Dolphins,Karen Hesse,1998
27521,Dream Snow,Eric Carle,2000
28193,When Santa Fell To Earth,Cornelia Funke,2006
28195,"Inkspell (Inkworld, #2)",Cornelia Funke,2005
28196,"Ghosthunters and the Incredibly Revolting Ghost (Ghosthunters, #1)",Cornelia Funke,2006
28873,"Dragonology: The Complete Book of Dragons (Ologies, #1)",Dugald A. Steer,2003
28875,Three Tales Of My Father's Dragon,Ruth Stiles Gannett,1998
29313,Sector 7,David Wiesner,1999
30122,The Missing Piece,Shel Silverstein,2006
30125,The Missing Piece Meets the Big O,Shel Silverstein,2006
30128,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,2013
31314,Barnyard Dance,Sandra Boynton,1993
31486,"Ruby the Red Fairy (Rainbow Magic, #1)",Daisy Meadows,2005
31488,The Rainbow Goblins,Ul De Rico,1978
32184,"Thanksgiving on Thursday (Magic Tree House, #27)",Mary Pope Osborne,2002
32374,I Love You Like Crazy Cakes,Rose A. Lewis,2000
32982,"The Haunted Bridge (Nancy Drew, #15)",Carolyn Keene,1972
33529,Moxy Maxwell Does Not Love Stuart Little,Peggy Gifford,2008
34524,"Where's My Cow? (Discworld, #34.5)",Terry Pratchett,2005
34898,"My Father's Dragon (My Father's Dragon, #1)",Ruth Stiles Gannett,2005
35305,There's a Hair in My Dirt!: A Worm's Story,Gary Larson,1999
36644,"Nightbirds on Nantucket (The Wolves Chronicles, #3)",Joan Aiken,1999
37189,Mercy Watson Goes for a Ride (Mercy Watson #2),Kate DiCamillo,2006
37191,Mercy Watson to the Rescue (Mercy Watson #1),Kate DiCamillo,2005
37195,Mercy Watson: Princess in Disguise (Mercy Watson #4),Kate DiCamillo,2007
37419,"Are You There God?  It's Me, Margaret",Judy Blume,No year listed
37737,"Fudge-a-Mania (Fudge, #4)",Judy Blume,2004
37741,"Tales of a Fourth Grade Nothing (Fudge, #1)",Judy Blume,2004
38528,Cookies: Bite-Size Life Lessons,Amy Krouse Rosenthal,2006
38951,The Day My Butt Went Psycho,Andy Griffiths,2003
39154,The Three Little Fish And The Big Bad Shark,Ken Geist,2007
39518,"Gilda Joyce: Psychic Investigator (Gilda Joyce, #1)",Jennifer Allison,2006
39876,The OK Book,Amy Krouse Rosenthal,2007
39963,"A Long Way from Chicago (A Long Way from Chicago, #1)",Richard Peck,2004
39980,"A Year Down Yonder (A Long Way from Chicago, #2)",Richard Peck,2002
40081,"The Meanest Doll in the World (Doll People, #2)",Ann M. Martin,2005
41457,"Hitty, Her First Hundred Years",Rachel Field,1998
41861,"John, Paul, George & Ben",Lane Smith,2006
41887,Uncle Shelby's ABZ Book,Shel Silverstein,No year listed
41888,A Giraffe and a Half,Shel Silverstein,No year listed
42157,"P.S. Longer Letter Later (Elizabeth and Tara*Starr, #1)",Paula Danziger,1999
42337,"The Moffats (The Moffats, #1)",Eleanor Estes,2001
44186,The Monster at the End of this Book,Jon Stone,2004
45159,D is for Dahl: A gloriumptious A-Z guide to the world of Roald Dahl,Roald Dahl,No year listed
45343,"The Nixie's Song (Beyond the Spiderwick Chronicles, #1)",Holly Black,2007
45344,G Is for One Gzonk!: An Alpha-number-bet Book,Tony DiTerlizzi,No year listed
47558,"The Gashlycrumb Tinies (The Vinegar Works, #1)",Edward Gorey,1998
47823,"Lunch Walks Among Us (Franny K. Stein, Mad Scientist, #1)",Jim Benton,2004
48562,"The Secret in the Old Attic (Nancy Drew, #21)",Carolyn Keene,2005
48866,"Claudia and Mean Janine (The Baby-Sitters Club, #7)",Ann M. Martin,1987
49048,The Wind on the Moon,Eric Linklater,2004
52862,Varjak Paw  (Varjak Paw #1),S.F. Said,2005
53292,"June 29, 1999",David Wiesner,1995
53498,"Love That Dog (Jack, #1)",Sharon Creech,2008
53580,The Going-To-Bed Book,Sandra Boynton,1982
53628,Seven Blind Mice,Ed Young,No year listed
54283,"When Hitler Stole Pink Rabbit (Out of the Hitler Time, #1)",Judith Kerr,No year listed
54903,Marley: A Dog Like No Other: A Special Adaptation for Young Readers,John Grogan,No year listed
55736,Probuditi!,Chris Van Allsburg,2006
55745,The Wretched Stone,Chris Van Allsburg,1991
55773,The Sweetest Fig,Chris Van Allsburg,1993
55774,Two Bad Ants,Chris Van Allsburg,1988
55776,The Widow's Broom,Chris Van Allsburg,1992
55815,The Z Was Zapped,Chris Van Allsburg,1998
56728,"You Are Special (Wemmicksville, #1)",Max Lucado,2004
58382,Through My Eyes,Ruby Bridges,1999
58945,A Boy and His Bunny,Sean Bryan,2005
59919,"Catwings Return (Catwings, #2)",Ursula K. Le Guin,2003
62151,"The Higher Power of Lucky (The Hard Pan Trilogy, #1)",Susan Patron,2006
62390,"Tom Sawyer Abroad (Tom Sawyer & Huckleberry Finn, #3)",Mark Twain,2002
62573,Bear Feels Sick,Karma Wilson,2007
63339,"The Neddiad: How Neddie Took the Train, Went to Hollywood, and Saved Civilization",Daniel Pinkwater,2007
65110,"The Penultimate Peril (A Series of Unfortunate Events, #12)",Lemony Snicket,2005
65113,A Series of Unfortunate Events Box: The Complete Wreck (Books 1-13),Lemony Snicket,2006
65118,"The Hostile Hospital (A Series of Unfortunate Events, #8)",Lemony Snicket,2001
65119,"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,2000
65151,"Anastasia Again! (Anastasia Krupnik, #2)",Lois Lowry,1982
65217,The Five Chinese Brothers,Claire Huchet Bishop,1996
65788,Anne of the Island (Anne of Green Gables #3),L.M. Montgomery,1983
66929,"The Agony of Alice (Alice, #1)",Phyllis Reynolds Naylor,1997
66975,"Alice in Rapture, Sort of (Alice, #2)",Phyllis Reynolds Naylor,No year listed
67243,"Dear Enemy (Daddy-Long-Legs, #2)",Jean Webster,2006
74170,Max's Words,Kate Banks,2006
74532,George's Marvellous Medicine,Roald Dahl,2003
74720,The Beatrice Letters,Lemony Snicket,2006
74862,ماهی سیاه کوچولو,Samad Behrangi,1998
74996,"Five Go Off in a Caravan (Famous Five, #5)",Enid Blyton,2001
76950,"The House on the Cliff (Hardy Boys, #2)",Franklin W. Dixon,1987
76955,"The Missing Chums (Hardy Boys, #4)",Franklin W. Dixon,1962
76978,"The Secret of the Old Mill (Hardy Boys, #3)",Franklin W. Dixon,No year listed
77100,"On the Far Side of the Mountain (Mountain, #2)",Jean Craighead George,2001
78408,Lemony Snicket: The Unauthorized Autobiography (A Series of Unfortunate Events companion),Lemony Snicket,2003
78960,"Good Wives (Little Women, #1.5)",Louisa May Alcott,2004
79626,D'Aulaires' Book of Greek Myths,Ingri d'Aulaire,No year listed
79667,Justin Morgan Had a Horse,Marguerite Henry,2002
80672,"Double Fudge (Fudge, #5)",Judy Blume,2007
80674,"Superfudge (Fudge, #3)",Judy Blume,2007
80678,Horseradish: Bitter Truths You Can't Avoid,Lemony Snicket,No year listed
81807,Baba Yaga and Vasilisa the Brave,Marianna Mayer,1994
84060,"My Teacher is an Alien (My Teacher is an Alien, #1)",Bruce Coville,2005
85663,A Mother for Choco (Paperstar series),Keiko Kasza,No year listed
87226,Crash,Jerry Spinelli,2004
89378,Dog Heaven,Cynthia Rylant,1995
89546,"Henry and the Paper Route (Henry, #4)",Beverly Cleary,2014
89548,"Ellen Tebbits (Ellen & Otis, #1)",Beverly Cleary,2008
89612,"High Tide in Hawaii (Magic Tree House, #28)",Mary Pope Osborne,No year listed
89730,The Outcasts of 19 Schuyler Place,E.L. Konigsburg,2006
90072,"Dr. Seuss's Green Eggs and Ham: For Soprano, Boy Soprano, and Orchestra",Dr. Seuss,1998
91247,"Ramona and Her Father (Ramona, #4)",Beverly Cleary,2000
91248,"Ramona the Brave (Ramona, #3)",Beverly Cleary,2000
91249,"Ramona Forever (Ramona, #7)",Beverly Cleary,No year listed
91253,"Ramona Quimby, Age 8 (Ramona, #6)",Beverly Cleary,1982
92244,Miss Spider's Tea Party,David Kirk,2007
93531,Christmas Day in the Morning,Pearl S. Buck,2002
93734,"Revolutionary War on Wednesday (Magic Tree House, #22)",Mary Pope Osborne,2010
94803,"Frog and Toad Together (Frog and Toad, #2)",Arnold Lobel,1999
94804,"Days with Frog and Toad (Frog and Toad, #4)",Arnold Lobel,2004
96128,Duck for President,Doreen Cronin,No year listed
97090,"The Phoenix and the Carpet (Five Children, #2)",E. Nesbit,1994
97488,Crow Boy,Taro Yashima,1976
97521,"Bunnicula Meets Edgar Allan Crow (Bunnicula, #7)",James Howe,2006
97643,A Tree Is Nice,Janice May Udry,1987
97860,Tuesday,David Wiesner,2011
98407,Nana Upstairs and Nana Downstairs,Tomie dePaola,2000
99077,Gingerbread Baby,Jan Brett,No year listed
99110,"The Complete Tales and Poems of Winnie-the-Pooh (Winnie-the-Pooh, #1-4)",A.A. Milne,No year listed
99111,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",A.A. Milne,No year listed
102490,Art,Patrick McDonnell,2006
103386,"The Spiderwick Chronicles Box Set (The Spiderwick Chronicles, #1-5)",Holly Black,2004
103814,Enemy Pie,Derek Munson,2000
104762,Adèle and Simon,Barbara McClintock,No year listed
105548,The Foot Book: Dr. Seuss's Wacky Book of Opposites,Dr. Seuss,No year listed
105657,Beyond the Deepwoods  (The Edge Chronicles: The Twig Saga #1),Paul Stewart,No year listed
105999,"Dear Mr. Henshaw (Leigh Botts, #1)",Beverly Cleary,2000
106131,"Charlie Bone and the Castle of Mirrors (The Children of the Red King, #4)",Jenny Nimmo,No year listed
106559,The Wide-Mouthed Frog: A Pop-Up Book,Keith Faulkner,No year listed
107465,Moses: When Harriet Tubman Led Her People to Freedom,Carole Boston Weatherford,2006
108302,The Greedy Triangle,Marilyn Burns,1995
108391,All Cats Have Asperger Syndrome,Kathy Hoopmann,2006
108538,"In a Dark, Dark Room and Other Scary Stories",Alvin Schwartz,1985
108980,"Ivy and Bean (Ivy and Bean, #1)",Annie Barrows,2007
108981,"Ivy and Bean Break the Fossil Record (Ivy and Bean, #3)",Annie Barrows,2007
109521,I Like Myself!,Karen Beaumont,2004
109881,Billy And Blaze: A Boy And His Pony,C.W. Anderson,1992
111000,The Librarian of Basra: A True Story from Iraq,Jeanette Winter,2005
111027,Tar Beach,Faith Ringgold,1996
111429,"The Giver (The Giver, #1)",Lois Lowry,No year listed
114345,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,No year listed
114998,"Hey, Little Ant",Phillip M. Hoose,1998
117140,Snuggle Puppy!,Sandra Boynton,2003
117170,Richard Scarry's Best Storybook Ever!,Richard Scarry,2000
119247,The Great Brain (Great Brain #1),John D. Fitzgerald,2004
119502,The Iron Man,Ted Hughes,2005
120419,I Had Trouble In Getting To Solla Sollew,Dr. Seuss,2004
120654,The Family Book,Todd Parr,2006
120661,It's Okay to Be Different,Todd Parr,2004
120725,Yoko,Rosemary Wells,1998
120840,David Gets In Trouble,David Shannon,2002
120847,Alice The Fairy,No listed author,2004
121405,Baby,Patricia MacLachlan,1993
121407,"More Perfect than the Moon (Sarah, Plain and Tall #4)",Patricia MacLachlan,2005
121408,"Caleb's Story (Sarah, Plain and Tall #3)",Patricia MacLachlan,2004
121419,Edward's Eyes,Patricia MacLachlan,2007
122468,"Julie (Julie of the Wolves, #2)",Jean Craighead George,1996
122482,"Julie's Wolf Pack (Julie of the Wolves, #3)",Jean Craighead George,1999
122884,"Ragweed (Tales of Dimwood Forest, #0)",Avi,2006
122914,"Midnight On The Moon (Magic Tree House, #8)",Mary Pope Osborne,1996
123170,"Big Red (Big Red, #1)",Jim Kjelgaard,1992
123203,"The Black Stallion Returns (The Black Stallion, #2)",Walter Farley,1991
123860,Olivia and the Missing Toy,Ian Falconer,2003
125336,"The Weakness (Animorphs, #37)",Katherine Applegate,2000
125344,"The Beginning (Animorphs, #54)",Katherine Applegate,2001
125404,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,2003
125407,"The Secret of the Indian (The Indian in the Cupboard, #3)",Lynne Reid Banks,2003
125411,"The Mystery of the Cupboard (The Indian in the Cupboard, #4)",Lynne Reid Banks,1993
125423,The Very Quiet Cricket,Eric Carle,1990
125507,The True Story of the 3 Little Pigs,Jon Scieszka,1996
125533,"The Haunted School (Goosebumps, #59)",R.L. Stine,2005
125534,"Beware, the Snowman (Goosebumps, #51)",R.L. Stine,2006
125535,"Don't Go To Sleep! (Goosebumps, #54)",R.L. Stine,2005
125538,"Welcome to Camp Nightmare  (Goosebumps, #9)",R.L. Stine,2003
125540,"One Day at Horrorland (Goosebumps, #16)",R.L. Stine,2003
125541,"The Curse of Camp Cold Lake (Goosebumps, #56)",R.L. Stine,2005
125542,"Stay Out of the Basement  (Goosebumps, #2)",R.L. Stine,2003
125543,"Ghost Beach  (Goosebumps, #22)",R.L. Stine,2003
125544,"The Scarecrow Walks at Midnight (Goosebumps, #20)",R.L. Stine,2003
125545,"Be Careful What You Wish For... (Goosebumps, #12)",R.L. Stine,2005
125547,"Phantom of the Auditorium (Goosebumps, #24)",R.L. Stine,1994
125548,"My Hairiest Adventure (Goosebumps, #26)",R.L. Stine,2006
125549,"The Ghost Next Door  (Goosebumps, #10)",R.L. Stine,2003
125553,"Welcome to Dead House (Goosebumps, #1)",R.L. Stine,No year listed
125560,"Piano Lessons Can Be Murder (Goosebumps, #13)",R.L. Stine,2004
125578,"How I Got My Shrunken Head (Goosebumps, #39)",R.L. Stine,2003
125580,"Egg Monsters from Mars (Goosebumps, #42)",R.L. Stine,2003
125591,"The Horror at Camp Jellyjam  (Goosebumps, #33)",R.L. Stine,2003
125641,You Can't Scare Me! (Goosebumps #15),R.L. Stine,1994
125661,"Deep Trouble II (Goosebumps, #58)",R.L. Stine,1997
126574,"Vacation Under the Volcano (Magic Tree House, #13)",Mary Pope Osborne,1998
127179,Library Lion,Michelle Knudsen,2006
127335,"Tonight on the Titanic (Magic Tree House, #17)",Mary Pope Osborne,No year listed
129594,365 Penguins,Jean-Luc Fromental,2006
129771,The Other Side,Jacqueline Woodson,2001
130580,"Old Yeller (Old Yeller, #1)",Fred Gipson,2001
131693,A House for Hermit Crab,Eric Carle,2005
133472,Bee-bim Bop!,Linda Sue Park,2005
133547,Everyone Poops,Taro Gomi,1993
133612,Bats at the Beach,Brian Lies,2006
133935,"Hello, Red Fox",Eric Carle,2001
134028,My Many Colored Days,Dr. Seuss,1996
134314,"The Kid Who Ran For President (Kid President, #1)",Dan Gutman,2000
135297,Gregory the Terrible Eater,Mitchell Sharmat,1989
136276,"Tigers at Twilight (Magic Tree House, #19)",Mary Pope Osborne,2009
136943,Gone Wild: An Endangered Animal Alphabet,David McLimans,2006
138047,Project Mulberry,Linda Sue Park,2007
138053,Piggie Pie!,Margie Palatini,1997
138067,Hurricane,David Wiesner,1992
138069,The Three Pigs,David Wiesner,2001
138070,Flotsam,David Wiesner,2006
138643,Science Verse,Jon Scieszka,No year listed
140006,The Ugly Princess and the Wise Fool,Margaret Gray,2002
140181,Zen Shorts,Jon J. Muth,2005
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,2006
141022,"White Snow, Bright Snow",Alvin Tresselt,1988
141745,Fairy Dust and the Quest for the Egg (Disney Fairies #1),Gail Carson Levine,2005
141936,A Treasury of Curious George,Margret Rey,2004
142033,Chanticleer and the Fox,Geoffrey Chaucer,1982
142092,Owen and Mzee: The True Story of a Remarkable Friendship,Isabella Hatkoff,2006
143717,"Pirates Past Noon (Magic Tree House, #4)",Mary Pope Osborne,1994
143719,The Night Pirates,Peter Harris,2006
143984,Uno's Garden,Graeme Base,2006
144006,Dinotopia: A Land Apart from Time,James Gurney,2003
144258,"The Diamond in the Window (Hall Family Chronicles, #1)",Jane Langton,1973
145385,The Borrowers Afloat (The Borrowers #3),Mary Norton,2003
145386,The Borrowers Avenged (The Borrowers #5),Mary Norton,2003
146665,The Story of Little Black Sambo,Helen Bannerman,1923
147732,"Miss Nelson Is Missing! (Miss Nelson, #1)",Harry Allard,1985
148782,"The Wright 3 (Chasing Vermeer, #2)",Blue Balliett,No year listed
149477,"Henry and Beezus (Henry, #2)",Beverly Cleary,2014
150217,"Come On, Rain!",Karen Hesse,1999
152262,Room One: A Mystery or Two,Andrew Clements,2006
153166,Koala Lou,Mem Fox,1994
153168,Wilfrid Gordon McDonald Partridge,Mem Fox,1995
153865,"Captain Underpants and the Attack of the Talking Toilets (Captain Underpants, #2)",Dav Pilkey,2000
153866,"Captain Underpants and the Perilous Plot of Professor Poopypants (Captain Underpants, #4)",Dav Pilkey,2001
153868,"Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space and the Subsequent Assault of the Equally Evil Lunchroom Zombie Nerds (Captain Underpants, #3)",Dav Pilkey,No year listed
154578,"Anastasia at Your Service (Anastasia Krupnik, #3)",Lois Lowry,1983
156171,"Mandie and the Secret Tunnel (Mandie, #1)",Lois Gladys Leppard,1983
156770,"The Return of the Indian (The Indian in the Cupboard, #2)",Lynne Reid Banks,No year listed
156813,"Mystery Ranch (The Boxcar Children, #4)",Gertrude Chandler Warner,1989
156865,"The Yellow House Mystery (The Boxcar Children, #3)",Gertrude Chandler Warner,1989
156980,"The Bungalow Mystery (Nancy Drew Mystery Stories, #3)",Carolyn Keene,1987
157051,Once Upon a Potty: Boy,No listed author,2007
157052,Once Upon a Potty: Girl,No listed author,2007
158176,I'm Gonna Like Me: Letting Off a Little Self-Esteem,Jamie Lee Curtis,2007
158254,Planting a Rainbow,Lois Ehlert,1992
158857,Charlotte Sometimes,Penelope Farmer,2007
159056,"The Talented Clementine (Clementine, #2)",Sara Pennypacker,2007
159061,"Go Away, Big Green Monster!",Ed Emberley,1993
159294,Amelia and Eleanor Go for a Ride,Pam Munoz Ryan,1999
160192,Joyful Noise: Poems for Two Voices,Paul Fleischman,2005
160943,Martin's Big Words: The Life of Dr. Martin Luther King Jr.,Doreen Rappaport,2001
160988,The Best Nest,P.D. Eastman,No year listed
161553,"Go Eat Worms! (Goosebumps, #21)",R.L. Stine,1994
161654,Emily's Balloon,Komako Sakai,2006
161788,If I Ran the Circus,Dr. Seuss,1956
162061,The Cow Who Clucked,Denise Fleming,2006
163657,Ruby's Wish,Shirin Yim Bridges,2002
164150,A Camping Spree with Mr. Magee,Chris Van Dusen,2003
164531,The Railway Children,E. Nesbit,2000
164532,Fletcher and the Falling Leaves,Julia Rawlinson,2006
164542,"My Friend Flicka (Flicka, #1)",Mary O'Hara,2005
169838,How Tia Lola Came to (Visit) Stay,Julia Alvarez,2002
169960,Henry & the Buccaneer Bunnies,Carolyn Crimi,2005
170502,Lemons Are Not Red (Ala Notable Book(Awards)) (Neal Porter Books),Laura Vaccaro Seeger,No year listed
174329,Math Curse,Jon Scieszka,No year listed
175184,There's No Place Like Space: All About Our Solar System,Tish Rabe,No year listed
175348,"Rapunzel: The One with All the Hair (Twice Upon a Time, #1)",Wendy Mass,2006
175824,"Gone-Away Lake (Gone-Away Lake, #1)",Elizabeth Enright,2000
176327,"The Fairy-Tale Detectives (The Sisters Grimm, #1)",Michael Buckley,2005
176972,The Annotated Alice: The Definitive Edition,Lewis Carroll,No year listed
177246,Room on the Broom,Julia Donaldson,2003
179063,Duck & Goose,Tad Hills,2006
179668,The Emerald City of Oz (Oz #6),L. Frank Baum,2003
180584,The Original Adventures of Hank the Cowdog (Hank the Cowdog #1),John R. Erickson,1999
180645,"Afternoon on the Amazon (Magic Tree House, #6)",Mary Pope Osborne,1995
181396,"Stage Fright on a Summer Night (Magic Tree House, #25)",Mary Pope Osborne,2002
181399,"Viking Ships At Sunrise (Magic Tree House, #15)",Mary Pope Osborne,1998
181400,The Tale of Three Trees,Angela Elwell Hunt,No year listed
181401,"Hour of the Olympics (Magic Tree House, #16)",Mary Pope Osborne,1998
181601,If You Give a Pig a Party,Laura Joffe Numeroff,2005
183106,The Gatehouse Mystery (Trixie Belden #3),Julie Campbell,2003
183135,"The Red Trailer Mystery (Trixie Belden, #2)",Julie Campbell,2003
183525,The Little Book of Hindu Deities: From the Goddess of Wealth to the Sacred Cow,Sanjay Patel,2006
183526,Ten Little Ladybugs,Melanie Gerth,No year listed
183657,"Princess Sonora and the Long Sleep (The Princess Tales, #3)",Gail Carson Levine,1999
183658,"The Princess Test (The Princess Tales, #2)",Gail Carson Levine,1999
189182,The Story About Ping,Marjorie Flack,2000
190344,"First Term at Malory Towers (Malory Towers, #1)",Enid Blyton,No year listed
191113,Don't Let the Pigeon Drive the Bus!,Mo Willems,2004
191117,Don't Let the Pigeon Stay Up Late!,Mo Willems,2006
193091,Tear Soup: A Recipe for Healing After Loss,Pat Schwiebert,No year listed
196283,"Junie B. Jones and the Mushy Gushy Valentime (Junie B. Jones, #14)",Barbara Park,1999
196924,"Owly, Vol. 1:  The Way Home & The Bittersweet Summer (Owly, #1)",Andy Runton,2004
197442,Alexander and the Wind-Up Mouse,Leo Lionni,1969
197510,"The Pigeon Has Feelings, Too!",Mo Willems,2005
197511,The Pigeon Loves Things That Go!,Mo Willems,2005
197512,The Pigeon Finds a Hot Dog!,Mo Willems,2004
197513,"Edwina, the Dinosaur Who Didn't Know She Was Extinct",Mo Willems,2006
197515,"Today I Will Fly! (Elephant & Piggie, #1)",Mo Willems,2007
198451,The Golden Road (The Story Girl #2),L.M. Montgomery,1989
198783,They Were Strong and Good,Robert Lawson,1940
198838,Chowder,Peter  Brown,2006
199623,The Dark-Thirty: Southern Tales of the Supernatural,Patricia C. McKissack,2006
200891,Samantha's Boxed Set,Valerie Tripp,No year listed
